name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,split,pdgid,archived_width_mev,width_error_positive_mev,width_error_negative_mev,label_type,record_role,alias_of
Kbar_3^*(1780)0,0,2,2,1.31796547848939,0.5,0.5,3,1.778947997,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,val3,M060,161.231793052726,16.7757777591419,17.6873693367903,point,main,
a_0(1710)0,1,1,0,1.26925322693166,1,0,0,1.713197745,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val3,M263,107.285564546201,14.8250071785797,14.8250071785797,point,main,
a_0(980)-,1,2,0,0.726050548468957,1,-1,0,0.98,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,val3,M036,75.0000000347767,25,25,point,main,
a_1(1260)0,1,1,0,0.911267525119201,1,0,1,1.23,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val3,M010,425.000000032123,175,175,point,main,
a_1(1640)+,1,2,0,1.22646486032403,1,1,1,1.655443365,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,val3,M161,254.41607770628,38.7680261069733,38.0044644472388,point,main,
a_4(1970)0,1,1,0,1.45749190372143,1,0,4,1.96727634,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,0,0,0,0,val3,M017,323.89389675238,14.5333933159855,18.1001167978534,point,main,
pi_2(1880)-,0,2,0,1.38807873452175,1,-1,2,1.873584646,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,val3,M185,236.74042719162,33.3171974639905,29.5026580378861,point,main,
rho(1900)-,0,2,1,1.39283166440983,1,-1,1,1.88,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,val3,M170,69.0000000277891,15,15,point,main,
D_s0^*(2317)+`,1,2,2,1.71716370160958,0,0,0,2.317773096,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,vale,M172,3.80000000101711,0,0,upper_limit,alternate,D_s0^*(2317)+
D_s0^*(2317)-`,1,2,2,1.71716370160958,0,0,0,2.317773096,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,vale,M172,3.80000000101711,0,0,upper_limit,alternate,D_s0^*(2317)-
D_s1(2460)+`,1,2,2,1.82216461183989,0,0,1,2.459499994,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,vale,M173,3.49999999826621,0,0,upper_limit,alternate,D_s1(2460)+
D_s1(2460)-`,1,2,2,1.82216461183989,0,0,1,2.459499994,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,vale,M173,3.49999999826621,0,0,upper_limit,alternate,D_s1(2460)-
a_0(980)+`,1,2,0,0.726050548468957,1,1,0,0.98,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,vale,M036,75.0000000347767,25,25,point,alternate,a_0(980)+
a_0(980)-`,1,2,0,0.726050548468957,1,-1,0,0.98,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,vale,M036,75.0000000347767,25,25,point,alternate,a_0(980)-
a_0(980)0`,1,1,0,0.726050548468957,1,0,0,0.98,1,1,1,1,1,0.707,0.707,0.707,0.707,1,1,0,0,0,0,vale,M036,75.0000000347767,25,25,point,alternate,a_0(980)0
chi_c1(3872)`,1,1,1,2.8683718089745,0,0,1,3.871637283,1,1,1,1,1,0.707,0.707,0.707,0.707,0,0,1,1,0,0,vale,M176,1.19288034319101,0.214461410150527,0.212127960926075,point,alternate,chi_c1(3872)
f_0(980)0`,1,1,1,0.733459227534966,0,0,0,0.99,1,1,1,1,1,0.707,0.707,0.707,0.707,1,1,0,0,0,0,vale,M003,54.9999999872141,45,45,range,alternate,f_0(980)0
psi(4230)`,0,0,0,3.12799448065263,0,0,1,4.22206773,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,vale,M074,48.7914450432332,7.2821291795283,7.14349957639901,point,alternate,psi(4230)
psi(4360)`,0,0,0,3.24057676773972,0,0,1,4.37402773,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,vale,M181,118.417418104615,12.0877402711335,12.3787690873952,point,alternate,psi(4360)
psi(4660)`,0,0,0,3.43861134297807,0,0,1,4.641328518,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,vale,M189,72.6095943731986,12.7110703743977,11.0582405414111,point,alternate,psi(4660)
