name,P,C,G,N,I,I3,J,Mass,Nk,Ik,I3k,Jk,Mk,u,ubar,d,dbar,s,sbar,c,cbar,b,bbar,width_mev,split
D(3000)0,2,2,2,2.38114945181554,0.5,-0.5,-222,3.214,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,186.000000053345,train
D+,0,2,2,1.38517162590308,0.5,0.5,0,1.869660723,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,6.37184858965093e-10,train
D-,0,2,2,1.38517162590308,0.5,-0.5,0,1.869660723,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,6.37184858965093e-10,train
D0,0,2,2,1.38159883339383,0.5,-0.5,0,1.864838281,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1.60422120284466e-09,train
D^*(2007)0,0,2,2,1.48681261201367,0.5,-0.5,1,2.006852502,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,2.10000000056831,train
D^*(2010)+,0,2,2,1.48934010510308,0.5,0.5,1,2.010264032,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0.0833857767183155,train
D^*(2010)-,0,2,2,1.48934010510308,0.5,-0.5,1,2.010264032,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0.0833857767183155,train
D^*(2640)+,2,2,2,1.95366866970677,0.5,0.5,-222,2.637,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,14.9999999984668,train
D^*(2640)-,2,2,2,1.95366866970677,0.5,-0.5,-222,2.637,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,14.9999999984668,train
D^*(2640)0,2,2,2,1.95366866970677,0.5,-0.5,-222,2.637,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,14.9999999984668,train
D_0(2550)+,0,2,2,1.88847488548183,0.5,0.5,0,2.549003498,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,165.235205378382,train
D_0(2550)-,0,2,2,1.88847488548183,0.5,-0.5,0,2.549003498,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,165.235205378382,train
D_0(2550)0,0,2,2,1.88847488548183,0.5,-0.5,0,2.549003498,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,165.235205378382,train
D_0^*(2300)+,1,2,2,1.73600470148847,0.5,0.5,0,2.34320408,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,229.272526951159,train
D_0^*(2300)-,1,2,2,1.73600470148847,0.5,-0.5,0,2.34320408,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,229.272526951159,train
D_0^*(2300)0,1,2,2,1.73600470148847,0.5,-0.5,0,2.34320408,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,229.272526951159,train
D_1(2420)-,1,2,2,1.79444260610421,0.5,-0.5,1,2.42208171,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,31.3389199504513,train
D_1(2420)0,1,2,2,1.79444260610421,0.5,-0.5,1,2.42208171,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,31.3389199504513,train
D_1(2430)0,1,2,2,1.78699948853443,0.5,-0.5,1,2.412035226,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,314.082421714335,train
D_1^*(2600)+,0,2,2,1.94652542731261,0.5,0.5,1,2.627358278,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,140.816807070706,train
D_1^*(2600)-,0,2,2,1.94652542731261,0.5,-0.5,1,2.627358278,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,140.816807070706,train
D_1^*(2600)0,0,2,2,1.94652542731261,0.5,-0.5,1,2.627358278,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,140.816807070706,train
D_1^*(2760)+,0,2,2,2.06035364825731,0.5,0.5,1,2.781,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,177.000000075432,train
D_1^*(2760)-,0,2,2,2.06035364825731,0.5,-0.5,1,2.781,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,177.000000075432,train
D_1^*(2760)0,0,2,2,2.06035364825731,0.5,-0.5,1,2.781,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,177.000000075432,train
D_2(2740)-,0,2,2,2.03505343895028,0.5,-0.5,2,2.74685058,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,88.4788732343689,train
D_2(2740)0,0,2,2,2.03505343895028,0.5,-0.5,2,2.74685058,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,88.4788732343689,train
D_2^*(2460)+,1,2,2,1.82337375493814,0.5,0.5,2,2.461132057,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,47.2973745209188,train
D_2^*(2460)-,1,2,2,1.82337375493814,0.5,-0.5,2,2.461132057,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,47.2973745209188,train
D_2^*(2460)0,1,2,2,1.82337375493814,0.5,-0.5,2,2.461132057,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,47.2973745209188,train
D_3^*(2750)+,0,2,2,2.047073773285,0.5,0.5,3,2.763075246,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,66.0156585734692,train
D_3^*(2750)-,0,2,2,2.047073773285,0.5,-0.5,3,2.763075246,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,66.0156585734692,train
D_3^*(2750)0,0,2,2,2.047073773285,0.5,-0.5,3,2.763075246,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,66.0156585734692,train
D_s()+,0,2,2,1.45828799592179,0,0,0,1.96835088,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.313e-09,train
D_s()-,0,2,2,1.45828799592179,0,0,0,1.96835088,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1.313e-09,train
D_s0(2590)+,0,2,2,1.91958874600313,0,0,0,2.591,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,89.0000000238396,train
D_s1(2536)+,1,2,2,1.87818248551522,0,0,1,2.535111143,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0.921081830549504,train
D_s1(2536)-,1,2,2,1.87818248551522,0,0,1,2.535111143,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0.921081830549504,train
D_s1^*(2700)+,0,2,2,2.01074896722273,0,0,1,2.714045175,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,121.863677812191,train
D_s1^*(2700)-,0,2,2,2.01074896722273,0,0,1,2.714045175,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,121.863677812191,train
D_s1^*(2860)+,0,2,2,2.11814134497219,0,0,1,2.859,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,158.999999964983,train
D_s2^*(2573)+,1,2,2,1.90337441994118,0,0,2,2.569114417,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,16.9101473389855,train
D_s2^*(2573)-,1,2,2,1.90337441994118,0,0,2,2.569114417,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,16.9101473389855,train
D_s3^*(2860)+,0,2,2,2.11925264683209,0,0,3,2.8605,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,53.0000000237375,train
D_s3^*(2860)-,0,2,2,2.11925264683209,0,0,3,2.8605,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,53.0000000237375,train
D_sJ(3040)+,2,2,2,2.25520190769337,0,0,-222,3.044,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,239.000000016369,train
D_sJ(3040)-,2,2,2,2.25520190769337,0,0,-222,3.044,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,239.000000016369,train
D_s^*()+,0,2,2,1.56485701456846,0,0,1,2.112194361,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1.89999999967245,train
D_s^*()-,0,2,2,1.56485701456846,0,0,1,2.112194361,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1.89999999967245,train
Dbar(3000)0,2,2,2,2.38114945181554,0.5,0.5,-222,3.214,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,186.000000053345,train
